Num,x1,x2,x3,x4,x5,x1Name,x2Name,x3Name,x4Name,x5Name,account,subArea,Population(K),GNI(M$),y1,y2,y3,z1,z2,z3
151,jp,1,6101,,,日本,北海道,新ひだか町,,,,,20229,
152,jp,1,6314,,,日本,北海道,音更町,,,,,42683,
153,jp,1,6322,,,日本,北海道,士幌町,,,,,5690,
154,jp,1,6331,,,日本,北海道,上士幌町,,,,,4758,
155,jp,1,6349,,,日本,北海道,鹿追町,,,,,4928,
156,jp,1,6357,,,日本,北海道,新得町,,,,,5503,
157,jp,1,6365,,,日本,北海道,清水町,,,,,8755,
158,jp,1,6373,,,日本,北海道,芽室町,,,,,17773,
159,jp,1,6381,,,日本,北海道,中札内村,,,,,3823,
160,jp,1,6390,,,日本,北海道,更別村,,,,,3084,
161,jp,1,6411,,,日本,北海道,大樹町,,,,,5266,
162,jp,1,6420,,,日本,北海道,広尾町,,,,,5880,
163,jp,1,6438,,,日本,北海道,幕別町,,,,,25269,
164,jp,1,6446,,,日本,北海道,池田町,,,,,5906,
165,jp,1,6454,,,日本,北海道,豊頃町,,,,,2878,
166,jp,1,6462,,,日本,北海道,本別町,,,,,6046,
167,jp,1,6471,,,日本,北海道,足寄町,,,,,5952,
168,jp,1,6489,,,日本,北海道,陸別町,,,,,2120,
169,jp,1,6497,,,日本,北海道,浦幌町,,,,,4108,
170,jp,1,6616,,,日本,北海道,釧路町,,,,,18380,
171,jp,1,6624,,,日本,北海道,厚岸町,,,,,8195,
172,jp,1,6632,,,日本,北海道,浜中町,,,,,5246,
173,jp,1,6641,,,日本,北海道,標茶町,,,,,6836,
174,jp,1,6659,,,日本,北海道,弟子屈町,,,,,6432,
175,jp,1,6675,,,日本,北海道,鶴居村,,,,,2432,
176,jp,1,6683,,,日本,北海道,白糠町,,,,,7003,
177,jp,1,6918,,,日本,北海道,別海町,,,,,13964,
178,jp,1,6926,,,日本,北海道,中標津町,,,,,22257,
179,jp,1,6934,,,日本,北海道,標津町,,,,,4798,
180,jp,1,6942,,,日本,北海道,羅臼町,,,,,4267,
181,jp,1,6951,,,日本,北海道,色丹村,,,,,0,
182,jp,1,6969,,,日本,北海道,泊村,,,,,0,
183,jp,1,6977,,,日本,北海道,留夜別村,,,,,0,
184,jp,1,6985,,,日本,北海道,留別村,,,,,0,
185,jp,1,6993,,,日本,北海道,紗那村,,,,,0,
186,jp,1,7001,,,日本,北海道,蘂取村,,,,,0,
187,jp,2,,,,日本,青森県,,,,,,1185767,
188,jp,2,2012,,,日本,青森県,青森市,,,,,263512,
189,jp,2,2021,,,日本,青森県,弘前市,,,,,159488,
190,jp,2,2039,,,日本,青森県,八戸市,,,,,215080,
191,jp,2,2047,,,日本,青森県,黒石市,,,,,30428,
192,jp,2,2055,,,日本,青森県,五所川原市,,,,,49811,
193,jp,2,2063,,,日本,青森県,十和田市,,,,,57361,
194,jp,2,2071,,,日本,青森県,三沢市,,,,,37380,
195,jp,2,2080,,,日本,青森県,むつ市,,,,,51606,
196,jp,2,2098,,,日本,青森県,つがる市,,,,,28806,
197,jp,2,2101,,,日本,青森県,平川市,,,,,29353,
198,jp,2,3019,,,日本,青森県,平内町,,,,,9730,
199,jp,2,3035,,,日本,青森県,今別町,,,,,2096,
200,jp,2,3043,,,日本,青森県,蓬田村,,,,,2434,
201,jp,2,3078,,,日本,青森県,外ヶ浜町,,,,,4996,
202,jp,2,3213,,,日本,青森県,鰺ヶ沢町,,,,,8505,
203,jp,2,3230,,,日本,青森県,深浦町,,,,,6803,
204,jp,2,3434,,,日本,青森県,西目屋村,,,,,1210,
205,jp,2,3612,,,日本,青森県,藤崎町,,,,,14300,
206,jp,2,3621,,,日本,青森県,大鰐町,,,,,8231,
207,jp,2,3671,,,日本,青森県,田舎館村,,,,,7239,
208,jp,2,3817,,,日本,青森県,板柳町,,,,,12198,
209,jp,2,3841,,,日本,青森県,鶴田町,,,,,11540,
210,jp,2,3876,,,日本,青森県,中泊町,,,,,9417,
211,jp,2,4015,,,日本,青森県,野辺地町,,,,,11855,
212,jp,2,4023,,,日本,青森県,七戸町,,,,,14014,
213,jp,2,4058,,,日本,青森県,六戸町,,,,,10551,
214,jp,2,4066,,,日本,青森県,横浜町,,,,,4048,
215,jp,2,4082,,,日本,青森県,東北町,,,,,16005,
216,jp,2,4112,,,日本,青森県,六ヶ所村,,,,,9628,
217,jp,2,4121,,,日本,青森県,おいらせ町,,,,,25182,
218,jp,2,4236,,,日本,青森県,大間町,,,,,4649,
219,jp,2,4244,,,日本,青森県,東通村,,,,,5553,
220,jp,2,4252,,,日本,青森県,風間浦村,,,,,1554,
221,jp,2,4261,,,日本,青森県,佐井村,,,,,1628,
222,jp,2,4414,,,日本,青森県,三戸町,,,,,8767,
223,jp,2,4422,,,日本,青森県,五戸町,,,,,15285,
224,jp,2,4431,,,日本,青森県,田子町,,,,,4718,
225,jp,2,4457,,,日本,青森県,南部町,,,,,16185,
226,jp,2,4465,,,日本,青森県,階上町,,,,,12562,
227,jp,2,4503,,,日本,青森県,新郷村,,,,,2059,
228,jp,3,,,,日本,岩手県,,,,,,1153900,
229,jp,3,2018,,,日本,岩手県,盛岡市,,,,,277423,
230,jp,3,2026,,,日本,岩手県,宮古市,,,,,45632,
231,jp,3,2034,,,日本,岩手県,大船渡市,,,,,32059,
232,jp,3,2051,,,日本,岩手県,花巻市,,,,,89867,
233,jp,3,2069,,,日本,岩手県,北上市,,,,,91090,
234,jp,3,2077,,,日本,岩手県,久慈市,,,,,31216,
235,jp,3,2085,,,日本,岩手県,遠野市,,,,,23930,
236,jp,3,2093,,,日本,岩手県,一関市,,,,,105505,
237,jp,3,2107,,,日本,岩手県,陸前高田市,,,,,17226,
238,jp,3,2115,,,日本,岩手県,釜石市,,,,,28934,
239,jp,3,2131,,,日本,岩手県,二戸市,,,,,24157,
240,jp,3,2140,,,日本,岩手県,八幡平市,,,,,23179,
241,jp,3,2158,,,日本,岩手県,奥州市,,,,,107798,
242,jp,3,2166,,,日本,岩手県,滝沢市,,,,,54413,
243,jp,3,3014,,,日本,岩手県,雫石町,,,,,14995,
244,jp,3,3022,,,日本,岩手県,葛巻町,,,,,5293,
245,jp,3,3031,,,日本,岩手県,岩手町,,,,,11542,
246,jp,3,3219,,,日本,岩手県,紫波町,,,,,32684,
247,jp,3,3227,,,日本,岩手県,矢巾町,,,,,26160,
248,jp,3,3669,,,日本,岩手県,西和賀町,,,,,4659,
249,jp,3,3812,,,日本,岩手県,金ケ崎町,,,,,15119,
250,jp,3,4029,,,日本,岩手県,平泉町,,,,,6734,
251,jp,3,4410,,,日本,岩手県,住田町,,,,,4681,
252,jp,3,4614,,,日本,岩手県,大槌町,,,,,10492,
253,jp,3,4827,,,日本,岩手県,山田町,,,,,13854,
254,jp,3,4835,,,日本,岩手県,岩泉町,,,,,7843,
255,jp,3,4843,,,日本,岩手県,田野畑村,,,,,2888,
256,jp,3,4851,,,日本,岩手県,普代村,,,,,2293,
257,jp,3,5017,,,日本,岩手県,軽米町,,,,,7907,
258,jp,3,5033,,,日本,岩手県,野田村,,,,,3901,
259,jp,3,5068,,,日本,岩手県,九戸村,,,,,5084,
260,jp,3,5076,,,日本,岩手県,洋野町,,,,,14739,
261,jp,3,5246,,,日本,岩手県,一戸町,,,,,10603,
262,jp,4,,,,日本,宮城県,,,,,,2224980,
263,jp,4,1009,,,日本,宮城県,仙台市,,,,,1064142,
264,jp,4,2021,,,日本,宮城県,石巻市,,,,,132447,
265,jp,4,2030,,,日本,宮城県,塩竈市,,,,,51726,
266,jp,4,2056,,,日本,宮城県,気仙沼市,,,,,56300,
267,jp,4,2064,,,日本,宮城県,白石市,,,,,30569,
268,jp,4,2072,,,日本,宮城県,名取市,,,,,79792,
269,jp,4,2081,,,日本,宮城県,角田市,,,,,26469,
270,jp,4,2099,,,日本,宮城県,多賀城市,,,,,61628,
271,jp,4,2111,,,日本,宮城県,岩沼市,,,,,43137,
272,jp,4,2129,,,日本,宮城県,登米市,,,,,71919,
273,jp,4,2137,,,日本,宮城県,栗原市,,,,,60518,
274,jp,4,2145,,,日本,宮城県,東松島市,,,,,37875,
275,jp,4,2153,,,日本,宮城県,大崎市,,,,,122035,
276,jp,4,2161,,,日本,宮城県,富谷市,,,,,52452,
277,jp,4,3010,,,日本,宮城県,蔵王町,,,,,10916,
278,jp,4,3028,,,日本,宮城県,七ヶ宿町,,,,,1213,
279,jp,4,3214,,,日本,宮城県,大河原町,,,,,23297,
280,jp,4,3222,,,日本,宮城県,村田町,,,,,9816,
281,jp,4,3231,,,日本,宮城県,柴田町,,,,,36331,
282,jp,4,3249,,,日本,宮城県,川崎町,,,,,7938,
283,jp,4,3419,,,日本,宮城県,丸森町,,,,,11571,
284,jp,4,3613,,,日本,宮城県,亘理町,,,,,32825,
285,jp,4,3621,,,日本,宮城県,山元町,,,,,11427,
286,jp,4,4016,,,日本,宮城県,松島町,,,,,12885,
287,jp,4,4041,,,日本,宮城県,七ヶ浜町,,,,,17553,
288,jp,4,4067,,,日本,宮城県,利府町,,,,,35863,
289,jp,4,4211,,,日本,宮城県,大和町,,,,,27861,
290,jp,4,4229,,,日本,宮城県,大郷町,,,,,7480,
291,jp,4,4245,,,日本,宮城県,大衡村,,,,,5539,
292,jp,4,4440,,,日本,宮城県,色麻町,,,,,6103,
293,jp,4,4458,,,日本,宮城県,加美町,,,,,20970,
294,jp,4,5012,,,日本,宮城県,涌谷町,,,,,14249,
295,jp,4,5055,,,日本,宮城県,美里町,,,,,22826,
296,jp,4,5811,,,日本,宮城県,女川町,,,,,5810,
297,jp,4,6060,,,日本,宮城県,南三陸町,,,,,11498,
298,jp,5,,,,日本,秋田県,,,,,,907593,
299,jp,5,2019,,,日本,秋田県,秋田市,,,,,293729,
300,jp,5,2027,,,日本,秋田県,能代市,,,,,47247,
301,jp,5,2035,,,日本,秋田県,横手市,,,,,80777,
302,jp,5,2043,,,日本,秋田県,大館市,,,,,65492,
303,jp,5,2060,,,日本,秋田県,男鹿市,,,,,23355,
