a1,a2,a3,a4,a5,a6,"Num","x1","x2","x3","x4","x5","x1Name","x2Name","x3Name","x4Name","x5Name","account","subArea","Population(K)","GNI(M$)"
16314,北海道,音更町,42683,1,6314,,,,,,,,,,,,,,,
16322,北海道,士幌町,5690,1,6322,,,,,,,,,,,,,,,
16331,北海道,上士幌町,4758,1,6331,,,,,,,,,,,,,,,
16349,北海道,鹿追町,4928,1,6349,,,,,,,,,,,,,,,
16357,北海道,新得町,5503,1,6357,,,,,,,,,,,,,,,
16365,北海道,清水町,8755,1,6365,,,,,,,,,,,,,,,
16373,北海道,芽室町,17773,1,6373,,,,,,,,,,,,,,,
16381,北海道,中札内村,3823,1,6381,,,,,,,,,,,,,,,
16390,北海道,更別村,3084,1,6390,,,,,,,,,,,,,,,
16411,北海道,大樹町,5266,1,6411,,,,,,,,,,,,,,,
16420,北海道,広尾町,5880,1,6420,,,,,,,,,,,,,,,
16438,北海道,幕別町,25269,1,6438,,,,,,,,,,,,,,,
16446,北海道,池田町,5906,1,6446,,,,,,,,,,,,,,,
16454,北海道,豊頃町,2878,1,6454,,,,,,,,,,,,,,,
16462,北海道,本別町,6046,1,6462,,,,,,,,,,,,,,,
16471,北海道,足寄町,5952,1,6471,,,,,,,,,,,,,,,
16489,北海道,陸別町,2120,1,6489,,,,,,,,,,,,,,,
16497,北海道,浦幌町,4108,1,6497,,,,,,,,,,,,,,,
16616,北海道,釧路町,18380,1,6616,,,,,,,,,,,,,,,
16624,北海道,厚岸町,8195,1,6624,,,,,,,,,,,,,,,
16632,北海道,浜中町,5246,1,6632,,,,,,,,,,,,,,,
16641,北海道,標茶町,6836,1,6641,,,,,,,,,,,,,,,
16659,北海道,弟子屈町,6432,1,6659,,,,,,,,,,,,,,,
16675,北海道,鶴居村,2432,1,6675,,,,,,,,,,,,,,,
16683,北海道,白糠町,7003,1,6683,,,,,,,,,,,,,,,
16918,北海道,別海町,13964,1,6918,,,,,,,,,,,,,,,
16926,北海道,中標津町,22257,1,6926,,,,,,,,,,,,,,,
16934,北海道,標津町,4798,1,6934,,,,,,,,,,,,,,,
16942,北海道,羅臼町,4267,1,6942,,,,,,,,,,,,,,,
16951,北海道,色丹村,0,1,6951,,,,,,,,,,,,,,,
16969,北海道,泊村,0,1,6969,,,,,,,,,,,,,,,
16977,北海道,留夜別村,0,1,6977,,,,,,,,,,,,,,,
16985,北海道,留別村,0,1,6985,,,,,,,,,,,,,,,
16993,北海道,紗那村,0,1,6993,,,,,,,,,,,,,,,
17001,北海道,蘂取村,0,1,7001,,,,,,,,,,,,,,,
22012,青森県,,1185767,2,,,,,,,,,,,,,,,,
22012,青森県,青森市,263512,2,2012,,,,,,,,,,,,,,,
22021,青森県,弘前市,159488,2,2021,,,,,,,,,,,,,,,
22039,青森県,八戸市,215080,2,2039,,,,,,,,,,,,,,,
22047,青森県,黒石市,30428,2,2047,,,,,,,,,,,,,,,
22055,青森県,五所川原市,49811,2,2055,,,,,,,,,,,,,,,
22063,青森県,十和田市,57361,2,2063,,,,,,,,,,,,,,,
22071,青森県,三沢市,37380,2,2071,,,,,,,,,,,,,,,
22080,青森県,むつ市,51606,2,2080,,,,,,,,,,,,,,,
22098,青森県,つがる市,28806,2,2098,,,,,,,,,,,,,,,
22101,青森県,平川市,29353,2,2101,,,,,,,,,,,,,,,
23019,青森県,平内町,9730,2,3019,,,,,,,,,,,,,,,
23035,青森県,今別町,2096,2,3035,,,,,,,,,,,,,,,
23043,青森県,蓬田村,2434,2,3043,,,,,,,,,,,,,,,
23078,青森県,外ヶ浜町,4996,2,3078,,,,,,,,,,,,,,,
23213,青森県,鰺ヶ沢町,8505,2,3213,,,,,,,,,,,,,,,
23230,青森県,深浦町,6803,2,3230,,,,,,,,,,,,,,,
23434,青森県,西目屋村,1210,2,3434,,,,,,,,,,,,,,,
23612,青森県,藤崎町,14300,2,3612,,,,,,,,,,,,,,,
23621,青森県,大鰐町,8231,2,3621,,,,,,,,,,,,,,,
23671,青森県,田舎館村,7239,2,3671,,,,,,,,,,,,,,,
23817,青森県,板柳町,12198,2,3817,,,,,,,,,,,,,,,
23841,青森県,鶴田町,11540,2,3841,,,,,,,,,,,,,,,
23876,青森県,中泊町,9417,2,3876,,,,,,,,,,,,,,,
24015,青森県,野辺地町,11855,2,4015,,,,,,,,,,,,,,,
24023,青森県,七戸町,14014,2,4023,,,,,,,,,,,,,,,
24058,青森県,六戸町,10551,2,4058,,,,,,,,,,,,,,,
24066,青森県,横浜町,4048,2,4066,,,,,,,,,,,,,,,
24082,青森県,東北町,16005,2,4082,,,,,,,,,,,,,,,
24112,青森県,六ヶ所村,9628,2,4112,,,,,,,,,,,,,,,
24121,青森県,おいらせ町,25182,2,4121,,,,,,,,,,,,,,,
24236,青森県,大間町,4649,2,4236,,,,,,,,,,,,,,,
